year,county,wage
1902,15,1.87
1903,15,1.94
1904,15,1.99
1905,15,2.12
1906,15,2.27
1907,15,2.5
1908,15,2.57
1909,15,2.77
1910,15,2.63
1911,15,2.78
1912,15,2.98
1913,15,2.89
1914,15,3.14
1803,16,0.25
1804,16,0.25
1805,16,0.27
1806,16,0.29
1807,16,0.29
1808,16,0.29
1809,16,0.29
1810,16,0.33
1811,16,0.42
1812,16,0.44
1813,16,0.62
1814,16,0.56
1815,16,0.56
1816,16,0.56
1817,16,0.56
1818,16,0.56
1819,16,0.54
1820,16,0.5
1821,16,0.56
1822,16,0.5
